[youth-leadership-conference@375] 200 settle 11286ms, 171 req (7 non-GET blocked), 314KB, overflowX 0, axe 5 rule(s)
[youth-leadership-conference@768] 200 settle 4739ms, 25 req (0 non-GET blocked), 142KB, overflowX 0, axe 4 rule(s)
[youth-leadership-conference@1440] 200 settle 4548ms, 123 req (0 non-GET blocked), 142KB, overflowX 0, axe 4 rule(s)
[all-star-game@375] 200 settle 9363ms, 171 req (7 non-GET blocked), 313KB, overflowX 0, axe 5 rule(s)
[all-star-game@768] 200 settle 4943ms, 26 req (0 non-GET blocked), 141KB, overflowX 0, axe 4 rule(s)
[all-star-game@1440] 200 settle 4685ms, 113 req (0 non-GET blocked), 141KB, overflowX 0, axe 4 rule(s)
[gallery-2024@375] 200 settle 15471ms, 811 req (7 non-GET blocked), 187KB, overflowX 0, axe 5 rule(s)
[gallery-2024@768] 200 settle 18399ms, 812 req (7 non-GET blocked), 187KB, overflowX 0, axe 4 rule(s)
[gallery-2024@1440] 200 settle 25152ms, 858 req (7 non-GET blocked), 187KB, overflowX 0, axe 5 rule(s)
[gallery-2023@375] 200 settle 19658ms, 719 req (7 non-GET blocked), 179KB, overflowX 0, axe 7 rule(s)
[gallery-2023@768] 200 settle 35077ms, 767 req (7 non-GET blocked), 179KB, overflowX 0, axe 9 rule(s)
[gallery-2023@1440] 200 settle 21518ms, 772 req (7 non-GET blocked), 179KB, overflowX 0, axe 7 rule(s)
[gallery-2022@375] 200 settle 12062ms, 614 req (7 non-GET blocked), 174KB, overflowX 0, axe 5 rule(s)
[gallery-2022@768] 200 settle 9366ms, 734 req (7 non-GET blocked), 174KB, overflowX 0, axe 5 rule(s)
[gallery-2022@1440] 200 settle 9465ms, 835 req (7 non-GET blocked), 174KB, overflowX 0, axe 5 rule(s)
done
