[home@375] 200 settle 10153ms, 233 req (12 non-GET blocked), 318KB, overflowX 0, axe 6 rule(s)
[home@768] 200 settle 5567ms, 173 req (7 non-GET blocked), 223KB, overflowX 0, axe 4 rule(s)
[home@1440] 200 settle 5750ms, 188 req (9 non-GET blocked), 146KB, overflowX 0, axe 4 rule(s)
[history-of-lambda-xi@375] 200 settle 9728ms, 171 req (7 non-GET blocked), 317KB, overflowX 0, axe 5 rule(s)
[history-of-lambda-xi@768] 200 settle 4654ms, 23 req (0 non-GET blocked), 145KB, overflowX 0, axe 3 rule(s)
[history-of-lambda-xi@1440] 200 settle 5118ms, 97 req (0 non-GET blocked), 145KB, overflowX 0, axe 4 rule(s)
[executive-officers@375] 200 settle 11069ms, 186 req (7 non-GET blocked), 314KB, overflowX 0, axe 6 rule(s)
[executive-officers@768] 200 settle 5517ms, 117 req (0 non-GET blocked), 142KB, overflowX 0, axe 3 rule(s)
[executive-officers@1440] 200 settle 5903ms, 151 req (0 non-GET blocked), 142KB, overflowX 0, axe 5 rule(s)
[past-basilei@375] 200 settle 10360ms, 170 req (7 non-GET blocked), 314KB, overflowX 0, axe 5 rule(s)
[past-basilei@768] 200 settle 5345ms, 26 req (0 non-GET blocked), 142KB, overflowX 0, axe 3 rule(s)
[past-basilei@1440] 200 settle 4780ms, 117 req (0 non-GET blocked), 142KB, overflowX 0, axe 4 rule(s)
[lineage@375] 200 settle 10753ms, 170 req (7 non-GET blocked), 318KB, overflowX 0, axe 7 rule(s)
[lineage@768] 200 settle 4476ms, 20 req (0 non-GET blocked), 145KB, overflowX 0, axe 5 rule(s)
[lineage@1440] 200 settle 4345ms, 117 req (0 non-GET blocked), 145KB, overflowX 0, axe 6 rule(s)
[mandated-programs@375] 200 settle 32896ms, 194 req (7 non-GET blocked), 316KB, overflowX 0, axe 6 rule(s)
[mandated-programs@768] 200 settle 5668ms, 147 req (0 non-GET blocked), 144KB, overflowX 0, axe 3 rule(s)
[mandated-programs@1440] 200 settle 5274ms, 159 req (0 non-GET blocked), 144KB, overflowX 0, axe 4 rule(s)
[scholarships@375] 200 settle 8396ms, 195 req (12 non-GET blocked), 346KB, overflowX 0, axe 8 rule(s)
[scholarships@768] 200 settle 4773ms, 31 req (0 non-GET blocked), 146KB, overflowX 0, axe 5 rule(s)
[scholarships@1440] 200 settle 6554ms, 121 req (0 non-GET blocked), 146KB, overflowX 0, axe 5 rule(s)
[achievement-week@375] 200 settle 11247ms, 173 req (7 non-GET blocked), 317KB, overflowX 0, axe 6 rule(s)
[achievement-week@768] 200 settle 5786ms, 28 req (0 non-GET blocked), 145KB, overflowX 0, axe 5 rule(s)
[achievement-week@1440] 200 settle 5158ms, 134 req (0 non-GET blocked), 145KB, overflowX 0, axe 5 rule(s)
[essay-contest-registration@375] 200 settle 10325ms, 173 req (7 non-GET blocked), 313KB, overflowX 0, axe 6 rule(s)
[essay-contest-registration@768] 200 settle 4931ms, 19 req (0 non-GET blocked), 141KB, overflowX 0, axe 3 rule(s)
[essay-contest-registration@1440] 200 settle 4399ms, 118 req (0 non-GET blocked), 141KB, overflowX 0, axe 4 rule(s)
[youth-leadership-conference] ERROR locator.click: Timeout 30000ms exceeded.
[ylc-registration@375] 200 settle 10445ms, 210 req (15 non-GET blocked), 313KB, overflowX 0, axe 6 rule(s)
[ylc-registration@768] 200 settle 4476ms, 19 req (0 non-GET blocked), 141KB, overflowX 0, axe 3 rule(s)
[ylc-registration@1440] 200 settle 4809ms, 113 req (0 non-GET blocked), 141KB, overflowX 0, axe 4 rule(s)
[all-star-game] ERROR locator.click: Timeout 30000ms exceeded.
[50th-anniversary-gala@375] 200 settle 11491ms, 171 req (7 non-GET blocked), 313KB, overflowX 0, axe 5 rule(s)
[50th-anniversary-gala@768] 200 settle 5751ms, 24 req (0 non-GET blocked), 141KB, overflowX 0, axe 4 rule(s)
[50th-anniversary-gala@1440] 200 settle 5799ms, 113 req (0 non-GET blocked), 141KB, overflowX 0, axe 4 rule(s)
[gallery-2025@375] 200 settle 33771ms, 241 req (7 non-GET blocked), 318KB, overflowX 0, axe 5 rule(s)
[gallery-2025@768] 200 settle 4867ms, 130 req (0 non-GET blocked), 146KB, overflowX 0, axe 4 rule(s)
[gallery-2025@1440] 200 settle 5437ms, 225 req (2 non-GET blocked), 146KB, overflowX 0, axe 4 rule(s)
[gallery-2024@375] 200 settle 15642ms, 811 req (7 non-GET blocked), 187KB, overflowX 0, axe 5 rule(s)
[gallery-2024@768] 200 settle 13503ms, 858 req (7 non-GET blocked), 187KB, overflowX 0, axe 5 rule(s)
[gallery-2024] ERROR locator.hover: Timeout 30000ms exceeded.
[gallery-2023@375] 200 settle 41948ms, 725 req (7 non-GET blocked), 179KB, overflowX 0, axe 7 rule(s)
[gallery-2023@768] 200 settle 9109ms, 771 req (7 non-GET blocked), 179KB, overflowX 0, axe 7 rule(s)
[gallery-2023] ERROR locator.hover: Timeout 30000ms exceeded.
[gallery-2022@375] 200 settle 11701ms, 581 req (7 non-GET blocked), 174KB, overflowX 0, axe 5 rule(s)
[gallery-2022@768] 200 settle 9623ms, 669 req (7 non-GET blocked), 174KB, overflowX 0, axe 5 rule(s)
[gallery-2022] ERROR locator.hover: Timeout 30000ms exceeded.
[gallery-2021@375] 200 settle 10938ms, 327 req (7 non-GET blocked), 240KB, overflowX 0, axe 5 rule(s)
[gallery-2021@768] 200 settle 4538ms, 162 req (0 non-GET blocked), 151KB, overflowX 0, axe 4 rule(s)
[gallery-2021@1440] 200 settle 4576ms, 306 req (2 non-GET blocked), 151KB, overflowX 0, axe 4 rule(s)
[gallery-2017-2020@375] 200 settle 10626ms, 215 req (7 non-GET blocked), 316KB, overflowX 0, axe 5 rule(s)
[gallery-2017-2020@768] 200 settle 5002ms, 69 req (0 non-GET blocked), 143KB, overflowX 0, axe 4 rule(s)
[gallery-2017-2020@1440] 200 settle 4513ms, 209 req (2 non-GET blocked), 143KB, overflowX 0, axe 4 rule(s)
[news@375] 200 settle 9675ms, 269 req (18 non-GET blocked), 326KB, overflowX 0, axe 6 rule(s)
[news@768] 200 settle 6090ms, 191 req (10 non-GET blocked), 320KB, overflowX 0, axe 4 rule(s)
[news@1440] 200 settle 5912ms, 202 req (10 non-GET blocked), 142KB, overflowX 0, axe 4 rule(s)
[contact-us@375] 200 settle 8485ms, 186 req (12 non-GET blocked), 314KB, overflowX 0, axe 8 rule(s)
[contact-us@768] 200 settle 5231ms, 20 req (0 non-GET blocked), 142KB, overflowX 0, axe 7 rule(s)
[contact-us@1440] 200 settle 5073ms, 139 req (5 non-GET blocked), 142KB, overflowX 0, axe 7 rule(s)
done
