1983 files planned, 1983 to fetch (thumb 400px, view skipped, quality auto:good)
100 fetched, 2.8 MB so far
200 fetched, 6.0 MB so far
300 fetched, 8.9 MB so far
400 fetched, 12.2 MB so far
500 fetched, 15.2 MB so far
600 fetched, 18.0 MB so far
700 fetched, 21.1 MB so far
800 fetched, 23.7 MB so far
900 fetched, 26.8 MB so far
1000 fetched, 29.8 MB so far
1100 fetched, 32.7 MB so far
1200 fetched, 35.9 MB so far
1300 fetched, 39.1 MB so far
1400 fetched, 42.3 MB so far
1500 fetched, 45.7 MB so far
1600 fetched, 48.9 MB so far
1700 fetched, 52.0 MB so far
1800 fetched, 56.4 MB so far
1900 fetched, 59.1 MB so far
done: 1983 files, 61.5 MB fetched this run, 0 failed
